X_vib_vel_margin_factor,X_vib_freq_energy,X_vib_disp_rms,Y_vib_vel_skewness,Y_vib_vel_peak_factor,Y_vib_disp_std,Y_vib_vel_impulse_factor,Y_vib_disp_peak_factor,Z_vib_vel_peak_factor,Y-axial force
-1.4454760383123542,1.1463752636945408,0.93048421039847085,1.0974065223374687,88.893093898554028,287603.69,3583.9321980193768,1.1951219512195124,1.1377820454785503,19.05
-2.2677868380553634,1.0170057972090072,1,1.2082441866603539,5.7858612562167853,239362.56,2693.8279455080274,1.0181818181818181,1.0316120737405918,18.729999999999997
0.94868329805051388,1.8708286933869707,0.37796447300922725,1.8708286933869707,407.60301064358481,176327.39,799.38914178264895,3.5,1.6915836373371353,15.319999999999999
-1.875,1.0644002897775877,0.98810492932246385,1.0285189544531601,45.59448588214525,1212281.1199999999,2542.4505894903837,1.0769230769230769,1.0561043914033592,23.42
-0.43782467040626716,1.2302493704584909,0.92857142857142849,1.1795356492391771,406.93260235221118,950856.00000000012,3935.0881819852525,1.3023255813953489,1.2736532068148225,17.79
-0.61580012775782356,1.3416407864998738,0.80582296402538034,1.3228756555322954,406.22231773817083,980671.79,4005.9841844064094,1.6153846153846154,1.2930614473055764,31.949999999999996
1.5186058694166156,2.0160645150967413,0.9296696802013682,2,110.50274721859698,368886.64,3954.4504765426727,2.333333333333333,1.812753953171611,12.14
-0.24356964481437338,1.4087214501209981,0.82158383625774911,1.4824986333222023,453.36477482003284,449397.68,2948.1482747650261,1.7777777777777777,1.4103938060468715,28.51
-0.10917540032474339,1.6,0.80778069580156009,1.4017532881009249,507.55970795844024,135480.59,2912.5236724972974,2.074074074074074,1.5527128912832551,20.119999999999997
1.518605869416616,1.6629588385661962,0.97789782339744713,1.800205749557739,245.97793164660698,292662.95,5448.6125363645169,1.75,1.674266551899819,23.06
1.1139042241199946,2.1566554640687681,0.8486684247915055,2.1773242158072694,81.325331378418156,154757.99000000002,3594.6789495030011,2.6666666666666665,2.0008447014754411,30.259999999999998
-0.71805325207884185,1.2253433297079737,0.8703882797784892,1.4213381090374029,227.12908014523163,286990.86000000004,3422.3544527123427,1.3617021276595744,1.2322058868843939,12.18
0.50094524112342331,1.8413930804749952,0.89381935729668616,1.6502739940140694,465.17936248904493,338610.43,3453.7573561268023,2.2068965517241379,1.6994422092342125,8.5300000000000011
0.46000799549400873,1.4515494772048463,0.94629162326278149,1.6116459280507605,389.02429842094023,403010.94,4949.8138727632986,1.5609756097560976,1.4716018606131802,13.690000000000001
0.52007050322486836,1.9321835661585918,0.61977978680091206,1.2833778958394959,566.1882574348773,403276.48000000004,3011.9516691246649,2.8,1.7168604817097031,26.369999999999997
1.5643042434590073,2.5298221281347035,0.47434164902525694,2.8284271247461898,51.856946083845486,36233.06,1074.0679680541637,5.333333333333333,2.0115906161025543,8.09
7.1412892041485279E-2,1.4517323726225955,0.92857142857142849,1.3151918984428583,130.02746962524057,206918.27000000002,4056.1656308637102,1.6470588235294117,1.4469572784376783,24.630000000000006
1.09108580892464,1.8662778992633737,0.92582009977255142,2,382.69545270855974,237898.66999999998,3656.5208190300245,2.2068965517241379,1.7430249662597519,20.479999999999997
-0.85989382329819053,1.1597836174113196,0.90453403373329089,1.1616357391030312,425.85904777452902,330807.67000000004,3641.405772500505,1.1951219512195124,1.1848828977071046,19.490000000000002
-0.66048401390491418,1.1607620001760186,0.95940322360024699,1.0504514628777804,490.12495977095085,427765.55999999994,5196.7090427500361,1.1851851851851851,1.1271853915219048,19.79
2.2677868380553634,2.8284271247461898,0,1.2649110640673518,309.55564350948509,199919.17999999996,605.2406546159965,8,1.5696320574153146,22.89
-0.25006685807727524,1.3719886811400706,0.71443450831176025,2,61.076064986913764,244428.62,2767.54345042675,1.7777777777777777,1.4477527815326603,15.620000000000001
-1.2198115259180262,1.1982893790305562,0.90453403373329089,1.0327955589886444,76.028190260492948,582756.15000000014,3593.8525090970074,1.2173913043478262,1.1126595664496546,14.210000000000003
-1.5763752317851099,1.1327877206476618,0.92091092027238086,1.2649110640673518,306.48922143713776,705589.34,3459.3767140917162,1.1636363636363636,1.1455274043135504,29.82
